token,meat_count,no_meat_count
fussilt,1,1
fussit,1,0
g,26,10
ga,4,0
gai,2,0
gaiantina,1,0
galangal,0,1
galantina,1,0
ganadra,0,1
garden,1,0
garlica,4,2
garnish,1,0
gaspacho,0,1
gastan,5,4
gastanov,1,0
gastanovy,6,8
gastanpvy,0,1
gat,1,0
gaz,2,0
gazd,1,0
gazda,3,2
gazdovska,2,0
gazdovsky,39,2
gemersky,1,0
genialny,0,1
genov,0,1
genoveso,3,1
ger,1,0
germknedl,1,0
germknoediet,0,1
giall,1,0
gigantes,0,2
ginko,0,1
giordano,1,0
giorgia,0,1
giovanny,1,0
girlovany,1,0
giros,1,0
glace,2,1
glaci,18,0
glas,0,1
glass,3,0
glaz,1,0
glazovany,7,1
glazura,2,0
glazurovany,3,0
gnnocchi,1,0
gnocch,1,0
gnocchi,38,24
gnochi,5,5
gnock,0,2
godollo,1,0
goj,0,1
gombolec,0,1
good,7,2
goralsky,1,1
gordon,69,0
goreng,2,0
gorgonzola,4,6
gorgonzolovy,6,5
gouda,1,2
goulaha,1,0
goulash,10,1
gr,1,0
grahamovy,0,2
gramaz,3,0
grana,2,1
granadiersky,0,8
granadir,2,3
granadirsky,0,1
granatier,1,0
granatierka,0,1
granatiersky,5,39
granatovy,7,0
grand,2,0
grank,0,14
granko,0,7
grano,0,1
granturco,1,0
grapefruit,1,0
gratin,4,1
gratina,2,2
gratinated,1,0
gratinovany,25,13
gratinovny,1,0
gravlax,1,0
grecko,1,2
grecky,29,27
greco,1,1
greek,2,1
green,1,0
gremium,2,2
grenadiersky,0,1
grenadirsky,0,1
griesit,0,1
griiovany,0,1
gril,147,26
grila,0,1
grile,1,0
grill,3,0
grilla,5,0
grilled,18,6
grilovaci,2,0
grilovan,0,1
grilovana,3,0
grilovane,10,0
grilovany,514,260
grilovanymi,0,1
grisina,1,0
grissina,1,1
grissini,2,2
grit,15,3
gronsky,0,1
guacamola,3,1
guba,0,1
guinnes,1,0
gula,6,21
gulas,357,28
gulasik,2,1
gulasit,0,1
gulasova,3,0
gulasovy,96,10
gulicka,7,5
gulka,47,40
gulkami,1,1
gulky,3,2
gulkz,0,1
gulocka,0,1
guly,0,3
gumbo,1,0
gurman,2,0
gurmansky,3,1
guvec,1,0
gyor,1,0
gyros,105,0
gyrose,1,0
gyrosom,1,0
h,20,0
habanero,1,0
haiuska,1,0
hajnik,0,1
hakuska,1,0
halaszly,4,1
halibut,1,0
hallou,1,6
haluska,396,183
haluskami,2,1
halusky,3,2
ham,5,0
hamburger,20,0
hamburgsky,3,0
hambursky,11,0
hanacky,0,2
hannibal,1,0
haraseny,1,0
harley,2,0
harula,2,1
harulovy,1,0
hat,2,0
havat,0,1
hawa,30,3
hawai,4,1
hawaia,3,0
hawaii,1,0
hawajsky,1,0
haway,1,0
heik,3,0
hejk,8,1
hellmans,0,1
herbaceous,3,0
herbat,1,0
herbs,0,2
herkules,2,0
hermelin,25,59
hermelinom,1,1
hermelinovy,3,2
herodesit,0,2
hlavkovy,10,8
hlavny,22,0
hliva,14,30
hlivova,0,1
hlivovo,0,2
hlivovy,10,38
hlivy,1,0
hluzovka,1,2
hnedy,3,2
hniezdo,9,2
hoblina,7,10
hod,9,0
hok,1,0
hokaid,0,2
hokaida,0,1
hokaido,7,10
hokajdo,0,1
hokejka,14,2
hokkaido,5,12
hokkaidovy,1,1
hoky,7,0
holandsky,35,4
holansky,1,0
holstein,1,0
holubok,2,1
homemada,4,1
honda,1,1
honey,3,1
horacky,0,1
horc,1,0
horcica,88,5
horcicou,1,1
horcicovej,1,0
horcicovo,28,0
horcicovy,55,6
horcicovym,0,1
horcit,2,1
horehronsky,3,0
horizont,0,1
